Docment_No,JS-2,mover_score,rouge_2_precision,rouge_2_recall,rouge_2_f_score,rouge_1_precision,rouge_1_recall,rouge_1_fscore,rouge_L_precision,rouge_L_recall,rouge_L_fscore,bert_precision_score,bert_recall_score,bert_f_score,litepyramid_recall
95,-0.525748789,0.364275669,0.19737,0.29412,0.23622,0.42857,0.67308,0.54264,0.45455,0.67308,0.51163,0.3693596,0.5841114,0.47546265,0.857142857
85,-0.567050931,0.284333829,0.13253,0.28205,0.18033,0.29762,0.625,0.40323,0.29762,0.625,0.40323,0.23718907,0.46199974,0.3482689,1
84,-0.32170072,0.439238627,0.46575,0.66667,0.63492,0.54054,0.76923,0.65079,0.55405,0.78846,0.63492,0.40673494,0.60068375,0.5027935,0.833333333
24,-0.364772073,0.390879196,0.30392,0.68889,0.42177,0.41748,0.93478,0.57718,0.41748,0.93478,0.57718,0.36294118,0.804979,0.57580763,1
5,-0.588486186,0.284164778,0.14583,0.12963,0.13725,0.38776,0.34545,0.38462,0.40816,0.36364,0.36538,0.26587954,0.25096002,0.2596136,1
61,-0.399335832,0.401637052,0.33735,0.53846,0.41481,0.5,0.79245,0.62773,0.5119,0.81132,0.61314,0.42653003,0.6309311,0.52759147,0.818181818
0,-0.391401305,0.407273939,0.36207,0.525,0.42857,0.49153,0.73171,0.6,0.50847,0.73171,0.58,0.45886236,0.5581884,0.5088735,0.6
59,-0.393189908,0.353303115,0.33721,0.49153,0.4,0.47126,0.7,0.57143,0.47126,0.7,0.55782,"0.30808038, ",0.47684732,0.39211997,0.833333333
97,-0.54839308,0.329238574,0.15385,0.2449,0.18898,0.35443,0.58,0.44961,0.36709,0.58,0.43411,0.16776866,0.28281537,0.22591312,1
